영화ID,OTT 플랫폼,제공 방식,대여 가격,소장 가격
M039,왓챠,소장,,7150
M040,넷플릭스,구독,,
M040,티빙,구독,,
M040,왓챠,구독,,
M040,웨이브,구독,,
M040,디즈니+,구독,,
M040,쿠팡플레이,구독,,
M040,왓챠,대여,1320,
M040,왓챠,소장,,6050
M041,넷플릭스,구독,,
M42,왓챠,구독,,
M42,티빙,구독,,
M42,웨이브,구독,,
M42,쿠팡플레이,대여,"1,400",
M42,쿠팡플레이,소장,,"5,000"
M43,왓챠,구독,,
M43,넷플릭스,구독,,
M43,티빙,구독,,
M43,웨이브,구독,,
M43,왓챠,대여,"2,750",
M43,애플tv+,대여,"3,000",
M43,왓챠,소장,,"7,150"
M43,애플tv+,소장,,"7,500"
M44,넷플릭스,구독,,
M44,쿠팡플레이,구독,,
M45,넷플릭스,구독,,
M45,디즈니+,구독,,
M45,쿠팡플레이,구독,,
M46,넷플릭스,구독,,
M47,넷플릭스,구독,,
M47,쿠팡플레이,구독,,
M48,왓챠,구독,,
M48,티빙,구독,,
M48,넷플릭스,구독,,
M48,웨이브,구독,,
M48,왓챠,대여,"5,500",
M48,쿠팡플레이,대여,"5,000",
M48,웨이브,대여,"5,000",
M48,왓챠,소장,,"10,890"
M48,쿠팡플레이,소장,,"9,900"
M48,웨이브,소장,,"9,900"
M49,넷플릭스,구독,,
M49,디즈니+,구독,,
M49,쿠팡플레이,구독,,
M50,왓챠,구독,,
M50,왓챠,대여,"1,540",
M50,왓챠,소장,,"7,150"
M51,왓챠,구독,,
M51,넷플릭스,구독,,
M51,티빙,구독,,
M51,웨이브,구독,,
M51,왓챠,대여,"2,750",
M51,왓챠,소장,,"7,150"
M52,왓챠,구독,,
M52,티빙,구독,,
M52,넷플릭스,구독,,
M52,쿠팡플레이,구독,,
M52,왓챠,대여,"1,540",
M52,왓챠,소장,,"7,150"
M53,왓챠,구독,,
M53,넷플릭스,구독,,
M53,웨이브,구독,,
M53,왓챠,대여,"1,540",
M53,왓챠,소장,,"7,150"
M54,왓챠,대여,"1,400",
M54,웨이브,대여,"1,540",
M54,왓챠,소장,,"5,000"
M54,웨이브,소장,,"5,000"
M55,넷플릭스,구독,,
M55,왓챠,대여,"5,500",
M55,웨이브,대여,"5,500",
M55,왓챠,소장,,"10,890"
M55,웨이브,소장,,"10,890"
M56,넷플릭스,구독,,
M56,왓챠,대여,"1,650",
M56,쿠팡플레이,대여,"1,650",
M56,웨이브,대여,"1,650",
M56,왓챠,소장,,"6,050"
M56,쿠팡플레이,소장,,"6,050"
M56,웨이브,소장,,"6,050"
M57,쿠팡플레이,구독,,
M57,디즈니+,구독,,
M58,넷플릭스,구독,,
M58,쿠팡플레이,구독,,
M59,왓챠,구독,,
M59,티빙,구독,,
M59,넷플릭스,구독,,
M59,웨이브,구독,,
M59,왓챠,대여,"2,750",
M59,왓챠,소장,,"7,150"
M60,왓챠,구독,,
M60,티빙,구독,,
M60,넷플릭스,구독,,
M60,웨이브,구독,,
M60,왓챠,대여,"2,750",
M60,왓챠,소장,,"7,150"
M61,왓챠,구독,,
M61,티빙,구독,,
M61,쿠팡플레이,구독,,
M61,넷플릭스,구독,,
M61,웨이브,구독,,
M61,왓챠,대여,"1,540",
M61,왓챠,소장,,"7,150"
M62,왓챠,구독,,
M62,티빙,구독,,
M62,쿠팡플레이,구독,,
M62,넷플릭스,구독,,
M62,웨이브,구독,,
M62,디즈니+,구독,,
M62,왓챠,대여,"1,320",
M62,왓챠,소장,,"6,050"
M63,왓챠,구독,,
M63,티빙,구독,,
M63,넷플릭스,구독,,
M63,왓챠,대여,"2,750",
M63,왓챠,소장,,"7,150"
M64,웨이브,대여,"1,320",
M64,쿠팡플레이,대여,"1,320",
M64,웨이브,소장,,"4,950"
M64,쿠팡플레이,소장,,"4,950"
M65,왓챠,대여,7700,
M65,웨이브,대여,7000,
M65,쿠팡플레이,대여,7000,
M65,왓챠,소장,,10890
M65,쿠팡플레이,소장,,9900
M66,,,,
M67,넷플릭스,구독,,
M67,티빙,구독,,
M67,왓챠,대여,2750,
M67,웨이브,대여,2750,
M67,왓챠,소장,,7150
M67,웨이브,소장,,7150
M68,왓챠,구독,,
M68,넷플릭스,구독,,
M68,티빙,구독,,
M68,웨이브,구독,,
M68,쿠팡플레이,구독,,
M68,왓챠,대여,1540,
M68,웨이브,대여,1800,
M68,왓챠,소장,,3850
M69,왓챠,구독,,
M69,넷플릭스,구독,,
M69,티빙,구독,,
M69,웨이브,구독,,
M69,쿠팡플레이,구독,,
M69,디즈니+,구독,,
M69,왓챠,대여,1320,
M69,왓챠,소장,,6050
M70,왓챠,구독,,
M70,넷플릭스,구독,,
M70,웨이브,구독,,
M70,왓챠,대여,2750,
M70,왓챠,소장,,7150
M71,왓챠,구독,,
M71,넷플릭스,구독,,
M71,티빙,구독,,
M71,웨이브,구독,,
M71,왓챠,대여,2750,
M71,왓챠,소장,,7150
M72,왓챠,구독,,
M72,넷플릭스,구독,,
M72,티빙,구독,,
M72,웨이브,구독,,
M72,쿠팡플레이,구독,,
M72,왓챠,대여,1540,
M72,왓챠,소장,,3850
M73,왓챠,구독,,
M73,넷플릭스,구독,,
M73,티빙,구독,,
M73,웨이브,구독,,
M73,왓챠,대여,2750,
M73,왓챠,소장,,7150
M74,왓챠,구독,,
M74,넷플릭스,구독,,
M74,티빙,구독,,
M74,웨이브,구독,,
M74,쿠팡플레이,구독,,
M74,왓챠,대여,1320,
M74,왓챠,소장,,6050
M75,왓챠,구독,,
M75,넷플릭스,구독,,
M75,티빙,구독,,
M75,웨이브,구독,,
M75,왓챠,대여,1540,
M75,왓챠,소장,,7150
M76,넷플릭스,구독,,
M76,티빙,구독,,
M76,웨이브,구독,,
M76,왓챠,대여,1540,
M76,쿠팡플레이,대여,1501,
M76,왓챠,소장,,6050
M76,쿠팡플레이,소장,,6000
M77,넷플릭스,구독,,
M77,쿠팡플레이,구독,,
M77,왓챠,대여,1650,
M77,웨이브,대여,1650,
M77,왓챠,소장,,6050
M77,웨이브,소장,,6050
M78,넷플릭스,구독,,
M78,쿠팡플레이,구독,,
M79,넷플릭스,구독,,
M79,왓챠,대여,1650,
M79,웨이브,대여,1650,
M79,쿠팡플레이,대여,1650,
M79,왓챠,소장,,6050
M79,웨이브,소장,,6050
M79,쿠팡플레이,소장,,6050
M80,디즈니+,구독,,
M80,쿠팡플레이,대여,2500,
M80,쿠팡플레이,소장,,6500
M81,넷플릭스,구독,,
M81,웨이브,구독,,
M81,쿠팡플레이,구독,,
M81,왓챠,대여,1540,
M81,웨이브,대여,1400,
M81,왓챠,소장,,3850
M81,웨이브,소장,,3500
M82,왓챠,구독,,
M82,넷플릭스,구독,,
M82,티빙,구독,,
M82,웨이브,구독,,
M82,쿠팡플레이,구독,,
M82,왓챠,대여,1540,
M82,웨이브,대여,1200,
M82,왓챠,소장,,3850
M83,넷플릭스,구독,,
M83,쿠팡플레이,구독,,
M83,왓챠,대여,1540,
M83,웨이브,대여,1540,
M83,왓챠,소장,,5500
M83,웨이브,소장,,5500
M84,왓챠,구독,,
M84,웨이브,구독,,
M84,왓챠,대여,2750,
M84,왓챠,소장,,7150
M85,왓챠,구독,,
M85,티빙,구독,,
M86,왓챠,구독,,
M86,넷플릭스,구독,,
M86,티빙,구독,,
M86,웨이브,구독,,
M86,왓챠,대여,1540,
M86,왓챠,소장,,7150
M87,넷플릭스,구독,,
M87,쿠팡플레이,구독,,
M87,디즈니+,구독,,
M88,왓챠,구독,,
M88,넷플릭스,구독,,
M88,티빙,구독,,
M88,웨이브,구독,,
M88,왓챠,대여,2750,
M88,왓챠,소장,,7150
M89,왓챠,구독,,
M89,넷플릭스,구독,,
M89,티빙,구독,,
M89,웨이브,구독,,
M89,쿠팡플레이,구독,,
M90,넷플릭스,구독,,
M90,티빙,구독,,
M91,왓챠,구독,,
M91,넷플릭스,구독,,
M91,티빙,구독,,
M91,웨이브,구독,,
M91,왓챠,대여,2750,
M91,왓챠,소장,,7150
M92,왓챠,구독,,
M92,넷플릭스,구독,,
M92,티빙,구독,,
